NO,제목,공감/비공감,조회수,등록일,카테고리,세분화
3840,조형예술대학 5월 4일 오프개강을 반대합니다,0 / 0,0,2020.04.04,대학,
3839,추가수강정정기간을 주셨으면 합니다.,0 / 0,1,2020.04.04,행정지원,학사운영 전반에 관한 업무
3838,금학기 등록금 인하 및 일정금액 반환을 강력히 요구합니다.,0 / 0,1,2020.04.04,행정지원,학사운영 전반에 관한 업무
3837,등록금 일정액 환불을 요구합니다.,0 / 0,1,2020.04.04,행정지원,학사운영 전반에 관한 업무
3836,의과대학의 오프라인 개강을 반대합니다.,0 / 0,1,2020.04.04,대학,
3835,등록금 일정액 환불 요구,0 / 0,0,2020.04.04,행정지원,학사운영 전반에 관한 업무
3834,등록금 환불/인하 요구합니다,0 / 0,0,2020.04.04,행정지원,학사운영 전반에 관한 업무
3833,의과대학의 오프라인 개강을 반대합니다.,0 / 0,0,2020.04.04,대학,
3832,"학점 추가, 2차 수강정정기간, 성적평가방식 변경을 요구합니다.",0 / 0,0,2020.04.04,행정지원,학사운영 전반에 관한 업무
3831,의과대학 4월 20일 오프라인 개강을 반대합니다!,0 / 0,0,2020.04.04,대학,
3830,온라인 강의로 등록금이 낭비되지 않게 해주십시오.,0 / 0,9,2020.04.04,행정지원,학사운영 전반에 관한 업무
3829,실기 과목 오프라인 개강을 반대합니다.,0 / 0,1,2020.04.04,행정지원,학사운영 전반에 관한 업무
3828,20-1학기 2차 추가 수강정정 & 증원 요청합니다,0 / 0,0,2020.04.04,행정지원,학사운영 전반에 관한 업무
3827,추가 학점 및 정정기간 요청합니다,0 / 0,0,2020.04.04,행정지원,학사운영 전반에 관한 업무
3826,2차 수강 정정기간 요청합니다,0 / 0,0,2020.04.03,행정지원,학사운영 전반에 관한 업무
3825,의과대학의 4월 20일 시험 및 개강 강행을 반대합니다.,0 / 0,3,2020.04.03,대학,
3824,등록금 환불을 요청합니다,0 / 0,0,2020.04.03,행정지원,학사운영 전반에 관한 업무
3823,실험실습 과목 오프라인 개강 취소 부탁드립니다.,0 / 0,0,2020.04.03,행정지원,학사운영 전반에 관한 업무
3822,의과대학 오프라인 개강에 반대합니다.,16 / 0,71,2020.04.03,대학,
3821,공대 등록금 일부 환불을 요구합니다.,0 / 0,0,2020.04.03,대학,
3820,음악대학 등록금 반환을 요구합니다.,0 / 0,0,2020.04.03,대학,
3819,2차 정정기간과 증원을 요청합니다.,0 / 0,0,2020.04.03,행정지원,학사운영 전반에 관한 업무
3818,1학기 전면 사이버강의 전환에 따른 성적체계 변환을 요구합니다.,7 / 0,50,2020.04.03,행정지원,학사운영 전반에 관한 업무
3817,등록금 일부 환불을 요구합니다.,0 / 0,0,2020.04.03,행정지원,학사운영 전반에 관한 업무
3816,수강 정정기간 한번더 해주세요,0 / 0,1,2020.04.03,행정지원,학사운영 전반에 관한 업무
3815,등록금 일부 환불 요청드립니다.,0 / 0,0,2020.04.03,행정지원,학사운영 전반에 관한 업무
3814,등록금환불 요구합니다.,0 / 0,0,2020.04.03,행정지원,학사운영 전반에 관한 업무
3813,등록금 일부 환불을 요구합니다.,0 / 0,1,2020.04.03,행정지원,학사운영 전반에 관한 업무
3812,2차 수강 정정기간 요구합니다.,0 / 0,0,2020.04.03,행정지원,학사운영 전반에 관한 업무
3811,음악대학 실기수업 오프라인 반대합니다.,0 / 0,0,2020.04.03,대학,
3810,20학년도 1학기 오프 시험 금지,0 / 0,0,2020.04.03,행정지원,학사운영 전반에 관한 업무
3809,20-1학기 2차 수강정정&증원을 요합니다.,0 / 0,0,2020.04.03,행정지원,학사운영 전반에 관한 업무
3808,등록금 일부 환불을 요청합니다,0 / 0,0,2020.04.03,행정지원,학사운영 전반에 관한 업무
3807,실험과목 오프라인 개강 반대합니다,0 / 0,1,2020.04.03,행정지원,학사운영 전반에 관한 업무
3806,등록금 환불을 요구합니다,0 / 0,1,2020.04.03,행정지원,학사운영 전반에 관한 업무
3805,기숙사 거주기간 정정 요구,1 / 0,31,2020.04.03,생활지원,기숙사
3804,등록금 일부 환불을 바랍니다.,0 / 0,0,2020.04.03,행정지원,학사운영 전반에 관한 업무
3803,등록금 일부 환급과 수강신청 정정 허용해주세요,0 / 0,0,2020.04.03,행정지원,학사운영 전반에 관한 업무
3802,실기과목 오프라인 개강 반대합니다,0 / 0,0,2020.04.03,행정지원,학사운영 전반에 관한 업무
3801,의과대학 4월 20일 오프라인 개강을 반대합니다.,14 / 0,82,2020.04.03,대학,
3800,등록금 환불을 요구합니다,0 / 0,2,2020.04.03,행정지원,학사운영 전반에 관한 업무
3799,등록금 환원 요구합니다,0 / 0,0,2020.04.03,행정지원,학사운영 전반에 관한 업무
3798,절대평가제 전면 도입,0 / 0,0,2020.04.03,행정지원,학사운영 전반에 관한 업무
3797,등록금 환불을 요구합니다,0 / 0,0,2020.04.03,행정지원,학사운영 전반에 관한 업무
3796,등록금 감면 및 환불 건의합니다,0 / 0,1,2020.04.03,행정지원,학사운영 전반에 관한 업무
3795,의과대학 오프라인 개강을 반대합니다.,0 / 0,0,2020.04.03,대학,
3794,20-1학기 강의 방식 변경에 따른 추가 정정 기간 및 추가 학점 도입을 원합니다.,0 / 0,0,2020.04.03,행정지원,학사운영 전반에 관한 업무
3793,2차 수강 정정기간을 요구합니다,0 / 0,0,2020.04.03,행정지원,학사운영 전반에 관한 업무
3792,의과대학 4월 20일 오프라인 개강을 반대합니다.,0 / 0,0,2020.04.03,대학,
3791,등록금 감면 및 일부 환불을 요구합니다,0 / 0,0,2020.04.03,행정지원,학사운영 전반에 관한 업무
3790,의과대학 오프라인 개강을 반대합니다,0 / 0,0,2020.04.03,대학,
3789,등록금 환불을 요구합니다,9 / 0,46,2020.04.03,행정지원,학사운영 전반에 관한 업무
3788,등록금 환불 요구합니다.,5 / 0,19,2020.04.03,행정지원,학사운영 전반에 관한 업무
3787,의과대학 오프라인 개강을 반대합니다,0 / 0,5,2020.04.03,대학,
3786,수강 철회기간중 정정도 가능하게 해주십시오.,0 / 0,0,2020.04.03,행정지원,학사운영 전반에 관한 업무
3785,등록금환불을 요구합니다,6 / 0,27,2020.04.03,행정지원,학사운영 전반에 관한 업무
3784,의과대학 4월 20일 오프라인 개강 및 이에 대해 본교가 승인하지 않을 것을 요구합니다.,0 / 0,1,2020.04.03,대학,
3783,등록금 일부 상환을 요구합니다.,4 / 0,30,2020.04.03,행정지원,학사운영 전반에 관한 업무
3782,2차 수강정정 기간을 요구합니다.,0 / 0,1,2020.04.03,행정지원,학사운영 전반에 관한 업무
3781,등록금 관련 제안,0 / 0,0,2020.04.03,행정지원,학사운영 전반에 관한 업무
3780,등록금 환불 요구합니다.,0 / 0,0,2020.04.03,행정지원,학사운영 전반에 관한 업무
3779,모든과는 오프라인 강의를 해서는 안됩니다.,0 / 0,0,2020.04.03,행정지원,학사운영 전반에 관한 업무
3778,여성 엔지니어 기업가 정신수업 추가 신청 요청합니다.,0 / 0,0,2020.04.03,기타,
3777,2차 정정기간과 추가학점을 요구합니다,0 / 0,0,2020.04.03,행정지원,학사운영 전반에 관한 업무
3776,의과대학 본과2학년 4.20 개강 및 중간고사를 반대합니다.,0 / 0,0,2020.04.03,대학,
3775,코로나바이러스19 감염증으로 인한 음악대학/대학원에 대한 대책마련을 요구합니다.,0 / 0,1,2020.04.03,대학,
3774,등록금 일부 환불을 요구합니다.,0 / 0,1,2020.04.03,행정지원,학사운영 전반에 관한 업무
3773,정정기간 연장을 요구합니다.,0 / 0,4,2020.04.03,행정지원,학사운영 전반에 관한 업무
3772,의과대학 오프개강을 반대합니다,69 / 0,347,2020.04.03,대학,
3771,추가학점 및 수강 정정기간 오픈을 요구합니다.,0 / 0,0,2020.04.03,행정지원,학사운영 전반에 관한 업무
3770,등록금 일부 환불 요구합니다.,0 / 0,0,2020.04.03,행정지원,학사운영 전반에 관한 업무
3769,의과대학 4월 20-21일 오프라인 개강 및 이에 대한 본교의 승인 절차 진행에 반대합니다.,50 / 0,258,2020.04.03,대학,
3768,의과대학 오프라인 반대합니다,0 / 0,0,2020.04.03,대학,
3767,의과대학의 독단적인 결정에 반대합니다.,175 / 0,933,2020.04.03,대학,
3766,의과대학 오프라인 개강을 반대합니다.,0 / 0,0,2020.04.03,대학,
3765,2020-1학기 수강신청 추가정정기간을 요청합니다.,0 / 0,0,2020.04.03,행정지원,학사운영 전반에 관한 업무
3764,의과대학 오프라인 개강을 반대합니다,0 / 0,0,2020.04.03,대학,
3763,"수강 인원 증원과 추가 수강 정정 기간, 그리고 최대 추강 학점 증가 원합니다",0 / 0,0,2020.04.03,행정지원,학사운영 전반에 관한 업무
3762,의과대학 4월 20일 오프 개강을 반대합니다.,0 / 0,0,2020.04.03,대학,
3761,의과대학의 오프라인 강의를 반대합니다,0 / 0,1,2020.04.03,대학,
3760,중도휴학 시 등록금 전액반환 기간 연장 요청합니다.,3 / 0,31,2020.04.03,행정지원,학사운영 전반에 관한 업무
3759,의과대학 오프라인 개강을 반대합니다.,0 / 0,0,2020.04.03,대학,
3758,수강 정정 및 학점 증가 및 성적 비율 증가 요청,0 / 0,0,2020.04.03,행정지원,학사운영 전반에 관한 업무
3757,의대 본과 2학년 오프라인 개강 및 중간고사 시험 강행을 반대합니다.,0 / 0,0,2020.04.03,대학,
3756,의과대학 오프라인 개강 승인을 하지 말아주세요,0 / 0,7,2020.04.03,대학,
3755,추가 정정기간과 추가 학점을 요구합니다.,0 / 0,1,2020.04.03,행정지원,학사운영 전반에 관한 업무
3754,4/20부터 실시되는 의과대학 중간고사 및 오프라인 개강을 반대합니다,0 / 0,1,2020.04.03,대학,
3753,2차 수강 정정 및 학점 추가 제안합니다.,0 / 0,0,2020.04.03,행정지원,학사운영 전반에 관한 업무
3752,의과대학 4/20일 개강을 반대합니다.,42 / 0,204,2020.04.03,대학,
3751,이화그린 공식색을 기존 색깔에 맞춰 팬톤을 변경해 주십시오.,0 / 0,1,2020.04.03,기타,
3750,의과대학 오프라인 개강 및 시험 일정에 반대합니다.,0 / 0,1,2020.04.03,대학,
3749,의과대학 오프라인 수업 강행을 반대합니다.,39 / 0,245,2020.04.03,대학,
3748,의과대학 오프라인 개강을 반대합니다,34 / 0,156,2020.04.03,대학,
3747,등록금 일부 환불 요구합니다.,0 / 0,2,2020.04.03,행정지원,학사운영 전반에 관한 업무
3746,추가 정정기간과 제한 학점을 늘려주실 것을 요구합니다.,0 / 0,0,2020.04.03,행정지원,학사운영 전반에 관한 업무
3745,"의과대학 본1,2 오프라인 시험 및 개강에 반대합니다",0 / 0,1,2020.04.03,대학,
3744,추가 수강신청 정정기간을 요구합니다.,0 / 0,0,2020.04.03,행정지원,학사운영 전반에 관한 업무
3743,추가 정정기간 원합니다.,0 / 0,0,2020.04.03,행정지원,학사운영 전반에 관한 업무
3742,등록금 일부 환불 부탁드립니다,0 / 0,0,2020.04.03,행정지원,학사운영 전반에 관한 업무
3741,의과대학 오프라인 개강 강행에 반대합니다,0 / 0,23,2020.04.03,대학,
3740,의과대학 오프라인 시험 강행,27 / 0,131,2020.04.03,대학,
3739,의과대학의 중간고사 강행과 오프라인 개강에 반대합니다,0 / 0,0,2020.04.03,대학,
3738,등록금 일부 환불 원합니다.,0 / 0,0,2020.04.03,행정지원,학사운영 전반에 관한 업무
3737,"의학과 본과 1,2학년의 중간고사 강행 및 오프라인 개강에 반대합니다.",0 / 0,0,2020.04.03,대학,
3736,의대 오프라인 개강 방식에 반대합니다.,0 / 0,0,2020.04.03,대학,
3735,추가 정정 기간을 원합니다.,0 / 0,0,2020.04.03,행정지원,학사운영 전반에 관한 업무
3734,실습과목 오프라인개강 반대합니다,0 / 0,0,2020.04.03,행정지원,학사운영 전반에 관한 업무
3733,등록금 일부 환불 원합니다,0 / 0,0,2020.04.03,행정지원,학사운영 전반에 관한 업무
3709,휴학못하는 편입생 신입생 등록금 환불요청합니다,0 / 0,0,2020.04.02,행정지원,학사운영 전반에 관한 업무
3708,1학년에 한하여 패논패 평가를 원합니다.,0 / 0,1,2020.04.02,행정지원,학교관련 제도
3707,실습 강의 전면 비대면을 요청합니다,0 / 0,7,2020.04.02,행정지원,학사운영 전반에 관한 업무
3706,신입생 입학키트 및 학생증 배부의 기간을 늘려주세요,0 / 0,0,2020.04.02,행정지원,입학 및 학사운영
3705,실험실습 비대면강의 요구합니다,0 / 0,0,2020.04.02,행정지원,학사운영 전반에 관한 업무
3704,수강신청 정정기간 요청합니다.,0 / 0,0,2020.04.02,행정지원,학사운영 전반에 관한 업무
3703,패스/논패스 및 절대평가 학점처리 요구드립니다.,0 / 0,1,2020.04.02,행정지원,학사운영 전반에 관한 업무
3702,추가학점 요청드립니다,0 / 0,2,2020.04.02,행정지원,학교관련 제도
3701,수강 정정 및 추가학점 요구,0 / 0,0,2020.04.02,행정지원,학사운영 전반에 관한 업무
3700,실험 실습 수업 온라인 수업을 원합니다.,0 / 0,1,2020.04.02,행정지원,학사운영 전반에 관한 업무
3699,"수업 정원 증가, 추가 정정 기간 개설, 추가 학점 방안 마련",0 / 0,0,2020.04.02,행정지원,학사운영 전반에 관한 업무
3698,휴학을 취소하거나 휴학생들에게 온라인 강의를 개설해 줄 것을 요청합니다.,3 / 0,42,2020.04.02,행정지원,학사운영 전반에 관한 업무
3696,이화여대를 향한 악의적인 비방글들에 대처해야 합니다.,5 / 0,64,2020.04.02,기타,
3695,2차 정정기간 원합니다.,0 / 0,1,2020.04.02,행정지원,학사운영 전반에 관한 업무
3694,전교과목 평가 방식을 필수적으로 절대평가하기를 원합니다,0 / 0,0,2020.04.02,행정지원,학사운영 전반에 관한 업무
3693,실험실습 수업 온라인 수업을 원합니다,0 / 0,1,2020.04.02,행정지원,학사운영 전반에 관한 업무
3692,실험 실습과목 온라인강의 대체에 대해 건의합니다.,0 / 0,1,2020.04.02,행정지원,학사운영 전반에 관한 업무
3691,수업정원 증가와 정정기간수정 추가학점 제안,0 / 0,1,2020.04.02,행정지원,학사운영 전반에 관한 업무
3690,"실험, 실습, 실기 과목 오프라인",0 / 0,0,2020.04.02,행정지원,학사운영 전반에 관한 업무
3689,실기 과목 대면강의,0 / 0,0,2020.04.02,행정지원,학사운영 전반에 관한 업무
3688,실습 필요한 과라고 5월에 나가는게 맞을까요,0 / 0,0,2020.04.02,행정지원,학사운영 전반에 관한 업무
3687,추가 수강정정기간 및 수강인원 증원 요청합니다.,8 / 0,49,2020.04.02,행정지원,학사운영 전반에 관한 업무
3686,한 학기 전면 사이버 강의대책으로 들을 수 있는 학점 추가와 등록금 일부 반환을 요구합니다,0 / 0,0,2020.04.02,행정지원,학사운영 전반에 관한 업무
3685,조예대 학생들의 일부 등록금 반환 요구,0 / 0,0,2020.04.02,대학,
3684,추가수강학점과 수강인원 증원을 요구합니다.,0 / 0,0,2020.04.02,행정지원,학사운영 전반에 관한 업무
3683,등록금 감면을 부탁드립니다,0 / 0,0,2020.04.02,행정지원,학사운영 전반에 관한 업무
3682,"실기수업을 이론으로 대체, 등록금감면",0 / 0,0,2020.04.02,행정지원,학사운영 전반에 관한 업무
3681,실험 오프라인 개강 반대합니다,0 / 0,0,2020.04.02,행정지원,학사운영 전반에 관한 업무
3680,조형예술대학 학생들의 등록금 일부 환불을 원합니다.,0 / 0,1,2020.04.02,대학,
3679,1학기 전체 온라인 강의 진행에 따른 등록금 일부 반환 및 채플 관련 대책을 요구합니다.,0 / 0,0,2020.04.02,행정지원,학사운영 전반에 관한 업무
3678,기숙사 선택입사 허용,0 / 0,1,2020.04.02,생활지원,기숙사
3677,실기과목도 온라인으로 진행해주세요,0 / 0,0,2020.04.02,행정지원,학사운영 전반에 관한 업무
3676,휴학 시 등록금 전액 반환 기간을 연장해주세요,0 / 0,1,2020.04.02,행정지원,학사운영 전반에 관한 업무
3675,등록금 일부 반환을 요청합니다.,0 / 0,0,2020.04.02,행정지원,학사운영 전반에 관한 업무
3674,수강정정 및 추가 학점 요구합니다!,0 / 0,1,2020.04.02,행정지원,학사운영 전반에 관한 업무
3673,3학점 추가 학점과 추가 수강정정기간을 요구합니다.,0 / 0,1,2020.04.02,행정지원,학사운영 전반에 관한 업무
3672,한학기 전체 사이버 강의 실시에 따른 등록금 일부 환불 및 추가 정정기간 요청합니다.,0 / 0,0,2020.04.02,행정지원,학사운영 전반에 관한 업무
3671,수강인원 증원과 추가학점 요구합니다!,0 / 0,0,2020.04.02,행정지원,학사운영 전반에 관한 업무
3670,"수강정정기간, 수강정원 증원",0 / 0,1,2020.04.02,행정지원,학사운영 전반에 관한 업무
3669,실습과목 오프라인 개강 반대합니다,0 / 0,0,2020.04.02,행정지원,학사운영 전반에 관한 업무
3668,2차 수강정정/추가학점  요구합니다,0 / 0,0,2020.04.02,행정지원,학사운영 전반에 관한 업무
3667,"추가적인 수강정정기간과 수강인원증원, 그리고 추가학점을 제안합니다.",0 / 0,0,2020.04.02,행정지원,학사운영 전반에 관한 업무
3666,실험수업도 1학기 전면 사이버강의로 대체해주세요.,0 / 0,0,2020.04.02,행정지원,학사운영 전반에 관한 업무
3665,"실험,실습 강의의 오프라인 수업을 반대합니다",0 / 0,0,2020.04.02,행정지원,학사운영 전반에 관한 업무
3664,수강인원 증원과 추가학점,0 / 0,0,2020.04.02,행정지원,학사운영 전반에 관한 업무
3663,등록금 일부 반환 혹은 수강 강의 증원 후 신청가능을 요구합니다.,0 / 0,1,2020.04.02,행정지원,학사운영 전반에 관한 업무
3662,이화그린 RGB값을 다시 원래대로 돌려놓기를 요청합니다.,2 / 0,41,2020.04.02,기타,
3661,금학기 원격 강의 기간 중 도서관 단행본 이용 방법 제안,0 / 0,1,2020.04.02,생활지원,공간사용
3660,1학기 전체 비대면 강의 전환에 따른 등록금 일부 반환 요청,0 / 0,0,2020.04.02,행정지원,학사운영 전반에 관한 업무
3659,수강정정기간 늘려주시길 바랍니다,0 / 0,0,2020.04.02,행정지원,학사운영 전반에 관한 업무
3658,수업정원 증가와 정정기간 수정 그리고 추가학점 제안합니다,0 / 0,0,2020.04.02,행정지원,학사운영 전반에 관한 업무
3657,수강신청 정정기간 및 증원 요청,0 / 0,0,2020.04.02,행정지원,학사운영 전반에 관한 업무
3656,1학기 전체 비대면 강의 전환에 따른 등록금 일부 반환 요청,0 / 0,0,2020.04.02,행정지원,학사운영 전반에 관한 업무
3655,패논패 반대/ 채플 사이버 이수/절평상평 관련,0 / 0,0,2020.04.02,행정지원,학사운영 전반에 관한 업무
3654,실기과목 오프라인 개강 반대합니다.,0 / 0,0,2020.04.02,행정지원,학사운영 전반에 관한 업무
3653,"등록금 일부반환, 절대평가, 채플, 실습과목 온라인",0 / 0,0,2020.04.02,행정지원,학사운영 전반에 관한 업무
3652,등록금 반환을 요구합니다.,0 / 0,0,2020.04.02,행정지원,학사운영 전반에 관한 업무
3651,이화그린 돌려놓으세요.,2 / 0,59,2020.04.02,기타,
3650,휴학 시 등록금 전액 반환 기간 연장,0 / 0,1,2020.04.02,행정지원,학사운영 전반에 관한 업무
3649,휴학시 등록금 전액 반환기간을 연장해주시길 바랍니다.,0 / 0,0,2020.04.02,행정지원,학사운영 전반에 관한 업무
3648,수강정정 및 추가 학점 신청 바랍니다.,0 / 0,0,2020.04.02,행정지원,학사운영 전반에 관한 업무
3647,"수강정정기간, 수업정원 늘리고 학점에 따른 등록금 차등 지급하고, 남은 학점 이월가능하게 해주세요.",0 / 0,0,2020.04.02,행정지원,학사운영 전반에 관한 업무
3646,휴학 시 등록금 전액반환 기간 연장,0 / 0,0,2020.04.02,행정지원,학사운영 전반에 관한 업무
3645,등록금 일부 반환 바랍니다,0 / 0,0,2020.04.02,행정지원,학사운영 전반에 관한 업무
3644,수강정정기간을 늘려주세요!,0 / 0,0,2020.04.02,행정지원,학사운영 전반에 관한 업무
3643,실험실습과목도 온라인으로 해주세요,0 / 0,0,2020.04.02,행정지원,학사운영 전반에 관한 업무
3642,실습과목의 오프라인 개강을 미뤄주십시오,0 / 0,1,2020.04.02,행정지원,학사운영 전반에 관한 업무
3641,"등록금의 항목별 근거를 따져 다시 산정하지 않는 것은 부당합니다. 수강 학점 추가, 빠른 실험수업 정상화",0 / 0,0,2020.04.02,행정지원,학사운영 전반에 관한 업무
3640,수강정정 및 3학점 추가 수강 제안합니다!,0 / 0,0,2020.04.02,행정지원,학사운영 전반에 관한 업무
3639,수강학점 추가 제안합니다,0 / 0,0,2020.04.02,행정지원,학사운영 전반에 관한 업무
3638,음악대학 오프개강을 반대합니다,0 / 0,0,2020.04.02,대학,
3637,등록금 감면 촉구합니다.,0 / 0,0,2020.04.02,행정지원,학사운영 전반에 관한 업무
3636,수강정정기간 연장 및 강의 시간 중복 과목 수강 가능하게 변경,0 / 0,0,2020.04.02,행정지원,학사운영 전반에 관한 업무
3635,추가 수강학점 제공과  수강인원 확충을 요구합니다,0 / 0,1,2020.04.02,행정지원,학사운영 전반에 관한 업무
3634,"추가 정정기간, 등록금 감면, 성적기준 완화 건의합니다.",0 / 0,0,2020.04.02,행정지원,학사운영 전반에 관한 업무
3633,실험 수업의 오프라인 개강을 미뤄주세요.,0 / 0,0,2020.04.02,행정지원,학사운영 전반에 관한 업무
3632,음악대학 5월 오프라인강의를 반대합니다,0 / 0,0,2020.04.02,대학,
3631,실기수업의 오프개강 날짜를 미뤄주세요,0 / 0,8,2020.04.02,행정지원,학사운영 전반에 관한 업무
3630,"이화그린 색상의 원상 복구를 요청하며, 색상을 자의적으로 바꾼 담당 교직원의 직접적인 피드백을 바랍니다.",11 / 2,73,2020.04.02,기타,
3629,수강 정정기간 연장 및 수강인원 확충,0 / 0,0,2020.04.02,행정지원,학사운영 전반에 관한 업무
3628,음악대학 대면강의 반대합니다,0 / 0,0,2020.04.02,대학,
3627,추가 학점 등록 수강신청할 수 있게 해주세요,0 / 0,1,2020.04.01,행정지원,학사운영 전반에 관한 업무
3626,등록금 감면해주시거나 안되면 그만큼 지원해주세요,0 / 0,0,2020.04.01,행정지원,학사운영 전반에 관한 업무
3625,등록금 일부 반환바랍니다.,0 / 0,0,2020.04.01,행정지원,학사운영 전반에 관한 업무
3624,등록금 감면 촉구,0 / 0,0,2020.04.01,행정지원,학사운영 전반에 관한 업무
3623,2차정정기간 및  절대평가 도입이 필요하다 생각합니다.,0 / 0,0,2020.04.01,행정지원,학사운영 전반에 관한 업무
3622,건의합니다.,0 / 0,0,2020.04.01,행정지원,학사운영 전반에 관한 업무
3621,등록금 감면을 촉구합니다.,0 / 0,1,2020.04.01,행정지원,학사운영 전반에 관한 업무
3620,등록금 인하와 수강정정 기간 연장을 요구합니다,0 / 0,0,2020.04.01,행정지원,학사운영 전반에 관한 업무
3619,음악대학 등록금 인하 및 실기 과목 오프라인 개강을 늦춰주세요.,0 / 0,0,2020.04.01,대학,
3618,추가 정정기간 및 등록금 인하를 제안합니다,0 / 0,0,2020.04.01,행정지원,학사운영 전반에 관한 업무
3617,정정기간 연장 부탁드립니다.,0 / 0,1,2020.04.01,행정지원,학사운영 전반에 관한 업무
3616,등록금 감면 바랍니다,0 / 0,0,2020.04.01,행정지원,학사운영 전반에 관한 업무
3615,등록금 감면 촉구,0 / 0,2,2020.04.01,행정지원,학사운영 전반에 관한 업무
3614,추가 정정기간을 원합니다,0 / 0,1,2020.04.01,행정지원,학사운영 전반에 관한 업무
3613,2차 수강 정정&절대 평가 전환을 요구합니다.,0 / 0,0,2020.04.01,행정지원,학사운영 전반에 관한 업무
3612,"추가 수강신청, 등록금 감면 건의",0 / 0,1,2020.04.01,행정지원,학사운영 전반에 관한 업무
3611,"기숙사 선별입사와, 선별입사 기간을 4/11로 당겨주세요",0 / 0,0,2020.04.01,생활지원,학사운영 전반에 관한 업무
3610,"등록금 인하, 추가적 수강가능, 수강정정 부탁",0 / 0,0,2020.04.01,행정지원,학사운영 전반에 관한 업무
3609,조예대 공간사용료를 돌려주세요,1 / 0,20,2020.04.01,대학,
3608,등록금 감면 바랍니다.,0 / 0,0,2020.04.01,행정지원,학사운영 전반에 관한 업무
3607,추가 정정기간 부탁드립니다.,0 / 0,0,2020.04.01,행정지원,학사운영 전반에 관한 업무
3606,2차 수강 정정 기간이 필요합니다,0 / 0,1,2020.04.01,행정지원,학사운영 전반에 관한 업무
3605,등록금 일부 반환 부탁드립니다.,0 / 0,2,2020.04.01,행정지원,학사운영 전반에 관한 업무
3588,20-1학기 휴학의 경우 등록금을 전액 환불해주세요,5 / 0,33,2020.04.01,행정지원,학사운영 전반에 관한 업무
3587,음악대학의 등록금 감면을 요구합니다.,0 / 0,0,2020.04.01,대학,
3586,수강정정기간을 늘려주세요,0 / 0,0,2020.04.01,행정지원,학사운영 전반에 관한 업무
3585,중도휴학시 등록금 전액 반환,0 / 0,0,2020.04.01,행정지원,학사운영 전반에 관한 업무
3584,등록금 감면 및 온라인 채플 수업 제안합니다.,0 / 0,0,2020.04.01,행정지원,학사운영 전반에 관한 업무
3583,수강 정정 및 증원과 절대 평가 전환을 요구합니다.,0 / 0,1,2020.04.01,행정지원,학사운영 전반에 관한 업무
3582,기숙사 선택 입사 가능하게 해주세요,0 / 0,0,2020.04.01,생활지원,기숙사
3581,건의합니다,0 / 0,0,2020.04.01,행정지원,학사운영 전반에 관한 업무
3580,등록금 감면,0 / 0,0,2020.04.01,행정지원,학사운영 전반에 관한 업무
3579,휴학 전액등록금 반환 기간을 늘려주십시오.,0 / 0,0,2020.04.01,행정지원,학사운영 전반에 관한 업무
3578,모든 과목 절대평가 전환 건의합니다.,2 / 0,25,2020.04.01,행정지원,학사운영 전반에 관한 업무
3577,추가학점 듣게해주세요! 수강정정기간 열어주세요,0 / 0,0,2020.04.01,행정지원,학사운영 전반에 관한 업무
3576,산학인턴쉽,0 / 0,8,2020.04.01,학생지원,취업/현장실습지원
3575,건의합니다,0 / 0,0,2020.04.01,기타,
3574,온라인 채플 진행+등록금 감면 제안합니다,0 / 0,0,2020.04.01,행정지원,학사운영 전반에 관한 업무
3573,등록금 반환요구,0 / 0,1,2020.04.01,행정지원,학사운영 전반에 관한 업무
3572,휴학 시 등록금전액반환 기간을 늘려주시길 바랍니다,0 / 0,2,2020.04.01,행정지원,학사운영 전반에 관한 업무
3571,등록금 일부 감면 요구,0 / 0,0,2020.04.01,행정지원,학사운영 전반에 관한 업무
3570,"수강인원 증원, 정정기간 추가, 등록금 전액 반환기간 연장를 요구합니다.",0 / 0,1,2020.04.01,행정지원,학사운영 전반에 관한 업무
3569,대학교 개강 연기에 따른 등록금 인하 건의문,13 / 0,51,2020.04.01,행정지원,학사운영 전반에 관한 업무
3568,신입/편입생도 이번 학기는 휴학이 가능하게 해주세요.,3 / 0,39,2020.04.01,행정지원,학사운영 전반에 관한 업무
3567,추가 학점 및 절평 or 패논패,0 / 0,2,2020.04.01,행정지원,학교관련 제도
3566,"추가 학점 신청 ,등록금 감면해주세요",0 / 0,0,2020.04.01,행정지원,학교관련 제도
3565,등록금 감면,0 / 0,1,2020.04.01,행정지원,학사운영 전반에 관한 업무
3564,3학점 추가등록 및 수강정정,0 / 0,0,2020.04.01,행정지원,학교
3563,등록금감면,0 / 0,0,2020.04.01,행정지원,학사운영 전반에 관한 업무
3562,한 학기 등록금 일부 반환을 요구합니다.,0 / 0,0,2020.04.01,행정지원,학사운영 전반에 관한 업무
3561,기숙사 선택입사제도를 운영할 것을 요청합니다.,0 / 0,2,2020.04.01,생활지원,기숙사
3560,"수강인원증원, 수강신청 재 진행, 청강가능 하게 해주세요.",0 / 0,0,2020.04.01,행정지원,학사운영 전반에 관한 업무
3559,수강인원 증원과 추가 수강신청 정정해주세요.,0 / 0,0,2020.04.01,행정지원,학사운영 전반에 관한 업무
3558,기숙사 선택입사 가능하게 해주세요,0 / 0,0,2020.04.01,생활지원,기숙사
